platform,item_category,brand,condition,final_sale_price,original_list_price,days_to_sale,listing_day_of_week,listing_time,sold_date,title,item_id,image_url
eBay,denim jacket,Unknown,New,43.21,43.21,,Wednesday,22:22,2026-04-01,New Torrid Denim Hooded Shacket Jacket Blue Cotton Blend Womens 1X,v1|227282891432|0,https://i.ebayimg.com/images/g/QecAAeSwAYFpf-3r/s-l225.jpg
eBay,denim jacket,Unknown,Like New,21.99,21.99,,Wednesday,22:22,2026-04-01,CSI Sono Distressed Denim Shacket Jacket Small Oversized Cream Button Front,v1|178014004578|0,https://i.ebayimg.com/images/g/LQYAAeSwCyppLHV0/s-l225.jpg
eBay,denim jacket,Unknown,Good,15.0,15.0,,Wednesday,22:22,2026-04-01,Kids Mickey Mouse Jean Jacket S,v1|336513627438|0,https://i.ebayimg.com/images/g/HJMAAeSw2RtpzZl1/s-l225.jpg
eBay,denim jacket,Unknown,Like New,14.99,14.99,,Wednesday,22:22,2026-04-01,OshKosh Bgosh Kids Denim Trucker Jacket Medium Wash Blue Jean Jacket 6,v1|178014004024|0,https://i.ebayimg.com/images/g/SkIAAeSwoB1pzZpn/s-l225.jpg
eBay,denim jacket,Unknown,Like New,44.0,44.0,,Wednesday,22:21,2026-04-01,Denim & Co. teal corduroy collar jacket,v1|227282889258|0,https://i.ebayimg.com/images/g/GxYAAeSwjYFpzZpW/s-l225.jpg
eBay,denim jacket,Unknown,Good,21.0,21.0,,Wednesday,22:21,2026-04-01,Pusheen Bobasheen White Denim Jacket Spring 2023 Box Exclusive Oversized XS S,v1|127785934053|0,https://i.ebayimg.com/images/g/AWEAAeSwQ35oZyl-/s-l225.jpg
eBay,denim jacket,Unknown,Like New,49.99,49.99,,Wednesday,22:21,2026-04-01,Vintage K-Brand x Harvest States Denim Corduroy Trucker Jacket Men’s 2XL Farming,v1|267626752844|0,https://i.ebayimg.com/images/g/A1AAAeSwEeppzZQ8/s-l225.jpg
eBay,denim jacket,Unknown,Good,38.0,38.0,,Wednesday,22:20,2026-04-01,Blues By J. Arcaro Men’s Jean Jacket Size Large,v1|377080048550|0,https://i.ebayimg.com/images/g/n~UAAOSw6jxlSTX2/s-l225.jpg
eBay,denim jacket,Unknown,Good,24.99,24.99,,Wednesday,22:20,2026-04-01,Disney Mickey Mouse Denim Jacket Kids Embroidered 5T Blue,v1|178013999519|0,https://i.ebayimg.com/images/g/4xUAAeSw47FpzJft/s-l225.jpg
eBay,denim jacket,Unknown,Good,20.0,20.0,,Wednesday,22:20,2026-04-01,DOLCEVIDA Women’s Size Medium Denim Jacket Painted Art Grunge Vibe,v1|397789902058|0,https://i.ebayimg.com/images/g/YCYAAeSwTP1pzZmz/s-l225.jpg
eBay,denim jacket,Unknown,New,89.99,89.99,,Wednesday,22:19,2026-04-01,G Star Raw Oversized Western Jacket Wmn Sz Large,v1|236730041794|0,https://i.ebayimg.com/images/g/Q-EAAeSwtDdpzZkR/s-l225.jpg
eBay,denim jacket,Unknown,Good,14.99,14.99,,Wednesday,22:19,2026-04-01,Celebrity Pink Denim Jacket Blue Jean Jacket  Women’s Juniors Sz Large,v1|117120716021|0,https://i.ebayimg.com/images/g/Gu8AAeSw6hto688R/s-l225.jpg
eBay,denim jacket,Unknown,Like New,60.0,60.0,,Wednesday,22:18,2026-04-01,x CHICOS PLATINUM SZ 2 DENIM JACKET-VELVET & LACE TRIM-R/S-MANDARIN COLLAR-EUC,v1|137188146512|0,https://i.ebayimg.com/images/g/QZ8AAeSw2QVpzZFc/s-l225.jpg
eBay,denim jacket,Unknown,Like New,155.0,155.0,,Wednesday,22:17,2026-04-01,Vintage Montgomery Ward 101 Blanket Lined Dark Denim Trucker Jacket Size 44,v1|117120714374|0,https://i.ebayimg.com/images/g/ZRcAAeSwg3Npxysd/s-l225.jpg
eBay,denim jacket,Unknown,New,50.0,50.0,,Wednesday,22:14,2026-04-01,Liverpool Los Angeles Denim Trucker Jacket Sharkskin Grey XL LM1004WF NWOT,v1|227282881961|0,https://i.ebayimg.com/images/g/eGYAAeSwi2FpzZjI/s-l225.jpg
eBay,denim jacket,Unknown,Good,32.54,32.54,,Wednesday,22:13,2026-04-01,The Quacker Factory Womens L Denim Zip Shirt Jacket Strawberries & Flowers,v1|147235979792|0,https://i.ebayimg.com/images/g/SiMAAOSwUz5l-jgj/s-l225.jpg
eBay,denim jacket,Unknown,New,17.18,17.18,,Wednesday,22:13,2026-04-01,Women's Denim Jacket Light Weight Black/White Button Up Size 2XL,v1|406821287441|0,https://i.ebayimg.com/images/g/MTwAAeSwtRBpzZe-/s-l225.jpg
eBay,denim jacket,Unknown,Like New,175.0,175.0,,Wednesday,22:13,2026-04-01,Vintage 90's Levi’s Type 3 Black Denim Sherpa Jacket 70609 Men's Sz M ~ USA,v1|358399742730|0,https://i.ebayimg.com/images/g/C1cAAeSwkFNpzZTc/s-l225.jpg
eBay,denim jacket,Unknown,Good,135.0,135.0,,Wednesday,22:13,2026-04-01,Vintage Red Leather Jacket Y2K Zip Up Cropped Biker Moto Streetwear Statement,v1|147235481896|0,https://i.ebayimg.com/images/g/WEAAAeSwf7JpzT3N/s-l225.jpg
eBay,denim jacket,Unknown,New,23.0,23.0,,Wednesday,22:12,2026-04-01,NWOT Prosperity Denim Jean Jacket Ladies Small Cream,v1|277855965539|0,https://i.ebayimg.com/images/g/HcQAAeSwLM5pzZgn/s-l225.jpg
eBay,denim jacket,Unknown,Like New,39.99,39.99,,Wednesday,22:12,2026-04-01,Maverick Ranch Coat Denim Jacket Men Small Blue Sherpa Lined Vintage USA Western,v1|147235978932|0,https://i.ebayimg.com/images/g/j0sAAeSwZJ9pzYz7/s-l225.jpg
eBay,denim jacket,Unknown,Good,20.0,20.0,,Wednesday,22:10,2026-04-01,"Wrangler Vintage Cowboy Cut Denim Jacket for Men, Size - Sm Black",v1|306855970037|0,https://i.ebayimg.com/images/g/IdUAAeSwxGxpzZdB/s-l225.jpg
eBay,denim jacket,Unknown,New,35.0,35.0,,Wednesday,22:10,2026-04-01,NWOT Liverpool Women's Size Small Blush Pink Classic/Trucker Jean Jacket,v1|277855964852|0,https://i.ebayimg.com/images/g/j5kAAeSwVuJpzZfY/s-l225.jpg
eBay,denim jacket,Unknown,Like New,25.99,25.99,,Wednesday,22:10,2026-04-01,EST. 1946 Denim Jacket Womens XL Blue Embroidered Fringe Boho Trucker,v1|168279810719|0,https://i.ebayimg.com/images/g/NMQAAeSw61dpzZfo/s-l225.jpg
eBay,denim jacket,Unknown,Like New,69.99,69.99,,Wednesday,22:10,2026-04-01,Driftwood women's floral embroidered light wash denim jean jacket size small,v1|287247576829|0,https://i.ebayimg.com/images/g/ANcAAeSwCEdpzZdL/s-l225.jpg
eBay,denim jacket,Unknown,Like New,10.99,10.99,,Wednesday,22:10,2026-04-01,Squeeze Blue Denim Pink/Purple Sequined Jacket-Flipping Sequins on Back 3T T18,v1|336513609927|0,https://i.ebayimg.com/images/g/OP0AAeSw33xpzZby/s-l225.jpg
